datetime,002415,600867,cash,commission,total,returns,equity_curve,drawdown
2018-05-11,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-10,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-09,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-05-08,3971.0,2909.0,93090.4,2.6,99970.4,-0.000296000000000074,0.9997039999999999,0.000296000000000074
2018-05-07,3929.0,3000.0,93090.4,2.6,100019.4,0.0004901450829446485,1.000194,0.0
2018-05-04,3922.9999999999995,2980.0,93090.4,2.6,99993.4,-0.0002599495697834797,0.999934,0.000260000000000038
2018-05-03,3929.9999999999995,2874.0,93090.4,2.6,99894.4,-0.000990065344312674,0.998944,0.0012499999999999734
2018-05-02,3911.9999999999995,2878.0,93090.4,2.6,99880.4,-0.00014014799628403463,0.9988040000000001,0.0013899999999998913
2018-04-27,3850.0,2880.0,93090.4,2.6,99820.4,-0.0006007184592773385,0.9982040000000001,0.0019899999999999363
2018-04-26,3800.0,2639.0,93090.4,2.6,99529.4,-0.002915235763431112,0.9952940000000001,0.004899999999999904
2018-04-25,3954.9999999999995,2680.0,93090.4,2.6,99725.4,0.00196926737225378,0.9972540000000001,0.0029399999999999427
2018-04-24,3968.0,2541.0,93090.4,2.6,99599.4,-0.001263469487211899,0.995994,0.0041999999999999815
2018-04-23,3908.0,2477.0,93090.4,2.6,99475.4,-0.0012449874196028832,0.9947540000000001,0.005439999999999889
2018-04-20,3833.0,2526.0,93090.4,2.6,99449.4,-0.00026137115306901215,0.9944940000000001,0.005699999999999927
2018-04-19,3925.0,2556.0,93090.4,2.6,99571.4,0.0012267545103339383,0.9957140000000001,0.0044799999999999285
2018-04-18,3802.0000000000005,2473.0,93090.4,2.6,99365.4,-0.002068867164667809,0.993654,0.00653999999999999
2018-04-17,3799.0,2467.0,93090.4,2.6,99356.4,-9.057478760210458e-05,0.993564,0.006630000000000025
2018-04-16,4075.0,2489.0,93090.4,2.6,99654.4,0.0029993035174382676,0.996544,0.003650000000000042
2018-04-13,4154.0,2546.0,93090.4,2.6,99790.4,0.0013647164600860684,0.997904,0.0022900000000000142
2018-04-12,4128.0,2595.0,93090.4,2.6,99813.4,0.00023048309256190613,0.9981339999999999,0.002060000000000173
2018-04-11,4196.0,2518.0,93090.4,2.6,99804.4,-9.016825396190864e-05,0.9980439999999998,0.0021500000000002073
2018-04-10,4204.0,2535.0,93090.4,2.6,99829.4,0.0002504899583586351,0.9982939999999999,0.0019000000000001238
2018-04-09,4069.0,2485.0,93090.4,2.6,99644.4,-0.0018531614935078933,0.9964439999999999,0.003750000000000142
2018-04-04,4110.0,2555.0,93090.4,2.6,99755.4,0.0011139612461914528,0.9975539999999998,0.0026400000000001977
2018-04-03,4135.0,2624.0,93090.4,2.6,99849.4,0.0009423048777308374,0.9984939999999998,0.0017000000000002569
2018-04-02,4083.0,2651.0,93090.4,2.6,99824.4,-0.0002503770678642381,0.9982439999999997,0.0019500000000003403
2018-03-30,4130.0,2673.0,93090.4,2.6,99893.4,0.0006912137713825928,0.9989339999999998,0.001260000000000261
2018-03-29,4150.0,2502.0,93090.4,2.6,99742.4,-0.0015116113777287055,0.9974239999999998,0.0027700000000002722
2018-03-28,4203.0,2592.0,93090.4,2.6,99885.4,0.0014336931936669295,0.9988539999999998,0.00134000000000023
2018-03-27,4403.0,2559.0,93090.4,2.6,100052.4,0.0016719160157541157,1.000524,0.0
